what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1405996115621
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1405996115621
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1405996115629
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1405996115639
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1405996115656
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1405996115658
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1405996115679
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1405996115691
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1405996115707
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1405996115724
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1405996115740
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1405996115753
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1405996115766
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1405996115776
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1405996115787
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1405996115787
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1405996115796
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1405996115813
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1405996115824
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1405996115837
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1405996115857
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1405996115866
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1405996115881
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1405996115903
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1405996115923
os,sysinfo,,,"win32",1405996115928
arch,sysinfo,,,"x86",1405996115928
ws,sysinfo,,,"win32",1405996115928
locale,sysinfo,,,"zh_CN",1405996115928
processors,sysinfo,,,"4",1405996115928
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1405996115928
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1405996115928
java.specification.name,sysinfo,,,"Java Platform API Specification",1405996115928
java.specification.vendor,sysinfo,,,"Oracle Corporation",1405996115928
java.specification.version,sysinfo,,,"1.7",1405996115928
java.vendor,sysinfo,,,"Oracle Corporation",1405996115928
java.version,sysinfo,,,"1.7.0_02",1405996115928
java.vm.info,sysinfo,,,"mixed mode, sharing",1405996115928
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1405996115928
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405996115928
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1405996115928
java.vm.specification.version,sysinfo,,,"1.7",1405996115928
java.vm.vendor,sysinfo,,,"Oracle Corporation",1405996115928
java.vm.version,sysinfo,,,"22.0-b10",1405996115928
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1405996563518
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996568242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996568421
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1405996568602
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405996573693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405996574070
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996578754
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996578937
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996597701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405996602147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405996837933
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405996867663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405996993200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405997114823
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1405997135338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405997136366
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1405997136455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405997138892
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997155491
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997155554
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997172651
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997174095
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997174178
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997175112
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405997207698
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1405997209146
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1405997209444
